,Sentence,Polarity_val,Polarity_score
0,"life , often find crossroad joy sorrow , navig maze emot shape experi .",0.8,1
1,"sun may rise golden hue , cast warmth across land , dark cloud swiftli gather , obscur light bring chill uncertainti .",0.18333333333333335,1
2,"day world feel like canva possibl , everi step forward met thrill discoveri promis new begin .",0.13636363636363635,1
3,"bird chirp cheer , wind whisper gentli tree , flower bloom vibrant color seem danc sunlight .",0.16666666666666666,1
4,"day , heart light , mind free worri , univers conspir bring happi doorstep .",0.4,1
5,"yet , even moment bliss , shadow creep in , cast doubt fear gnaw edg content .",0.0,0
6,"wind felt like gentl caress turn bite gale , push cours depth despair .",0.0,0
7,"vibrant color fade mute tone , cheer chirp bird becom distant echo , bare audibl roar life 's challeng .",0.03888888888888888,1
8,"path seem clear full promis appear litter obstacl , one remind fragil hope inevit setback .",0.225,1
9,"night darkest dawn , bleakest moment give way resurg strength determin .",0.0,0
10,"beauti struggl , advers discov true resili .",0.35,1
11,"rain fall might drench bone , leav cold weari , also nourish earth , allow new life spring forth .",-0.2318181818181818,-1
12,"way , trial face seem overwhelm , also cultiv growth charact deepen wisdom .",0.0,0
13,"everi challeng met opportun learn , adapt , emerg stronger befor .",0.0,0
14,"still , alway easi see silver line midst storm .",0.0,0
15,"mind worst enemi , amplifi fear doubt deafen pitch , drown voic reason optim .",-1.0,-1
16,"neg thought spiral control , trap cycl despair feel imposs escap .",0.0,0
17,"moment , even smallest task seem insurmount , joy came easili nowher found .",0.8,1
18,"time support love one practic self-compass becom crucial , provid lifelin back place balanc hope .",0.16666666666666666,1
19,"hand , day everyth seem fall place effortlessli .",0.0,0
20,"sun shine brightli , illumin path ahead , everi step feel like stride toward brighter futur .",0.0,0
21,"success come natur , challeng loom larg appear mere step stone , easili overcom .",-0.1,-1
22,"world full possibl , heart swell sens purpos fulfil .",0.35,1
23,"even moment triumph , import rememb life cyclic , sure tide ebb flow , fortun shift .",0.5,1
24,interplay posit neg experi give life depth rich .,0.375,1
25,"without bitter , sweet would tast sweet , without dark , light would shine brightli .",0.16999999999999998,1
26,contrast allow us appreci full spectrum human emot grow experi life present .,0.11666666666666665,1
27,"end , avoid neg cling posit , find harmoni two , embrac journey up down , trust moment , whether joy pain , uniqu valu .",0.32222222222222224,1
